년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,대전광역시,대덕구,일반용,12254,183636902,13.35
202007-202012,대전광역시,대덕구,합계,13907,1375949660,
202007-202012,대전광역시,동구,일반용,14703,191416793,42.98
202007-202012,대전광역시,동구,합계,20206,445336082,
202007-202012,대전광역시,서구,일반용,21932,511393930,53.99
202007-202012,대전광역시,서구,합계,28611,947220081,
202007-202012,대전광역시,유성구,일반용,17185,643022841,41.66
202007-202012,대전광역시,유성구,합계,18403,1543407965,
202007-202012,대전광역시,중구,일반용,15869,255371421,53.65
202007-202012,대전광역시,중구,합계,17309,475980029,
