계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,울산광역시,전체(시 / 군 / 구),주택용,"331,657 ","128,994,715 ","12,694,966,932 ",98.4 
202007,울산광역시,전체(시 / 군 / 구),일반용,"72,517 ","174,406,908 ","26,508,490,522 ",152.0 
202007,울산광역시,전체(시 / 군 / 구),교육용,429 ,"16,745,961 ","1,817,291,635 ",108.5 
202007,울산광역시,전체(시 / 군 / 구),산업용,"6,562 ","2,385,634,239 ","260,293,217,975 ",109.1 
202007,울산광역시,전체(시 / 군 / 구),농사용,"15,674 ","6,004,748 ","323,234,011 ",53.8 
202007,울산광역시,전체(시 / 군 / 구),가로등,"37,064 ","5,133,389 ","647,149,717 ",126.1 
202007,울산광역시,전체(시 / 군 / 구),심 야,"6,157 ","3,244,059 ","200,562,709 ",61.8 
202008,울산광역시,전체(시 / 군 / 구),주택용,"331,567 ","156,839,065 ","15,597,175,390 ",99.4 
202008,울산광역시,전체(시 / 군 / 구),일반용,"72,591 ","197,058,095 ","28,798,865,900 ",146.1 
202008,울산광역시,전체(시 / 군 / 구),교육용,429 ,"18,301,081 ","1,877,716,957 ",102.6 
202008,울산광역시,전체(시 / 군 / 구),산업용,"6,576 ","2,482,101,379 ","261,680,200,305 ",105.4 
202008,울산광역시,전체(시 / 군 / 구),농사용,"15,757 ","8,015,429 ","412,504,590 ",51.5 
202008,울산광역시,전체(시 / 군 / 구),가로등,"37,095 ","5,453,563 ","661,888,260 ",121.4 
202008,울산광역시,전체(시 / 군 / 구),심 야,"6,118 ","3,684,234 ","236,879,860 ",64.3 
202009,울산광역시,전체(시 / 군 / 구),주택용,"331,589 ","182,748,909 ","21,828,830,887 ",119.4 
202009,울산광역시,전체(시 / 군 / 구),일반용,"72,688 ","195,573,025 ","25,570,194,127 ",130.7 
202009,울산광역시,전체(시 / 군 / 구),교육용,430 ,"16,008,330 ","1,527,866,404 ",95.4 
202009,울산광역시,전체(시 / 군 / 구),산업용,"6,579 ","2,439,862,236 ","205,347,778,623 ",84.2 
202009,울산광역시,전체(시 / 군 / 구),농사용,"15,854 ","9,233,467 ","460,232,077 ",49.8 
202009,울산광역시,전체(시 / 군 / 구),가로등,"37,160 ","5,712,318 ","674,508,266 ",118.1 
202009,울산광역시,전체(시 / 군 / 구),심 야,"6,046 ","2,724,385 ","174,282,015 ",64.0 
202010,울산광역시,전체(시 / 군 / 구),주택용,"331,718 ","125,753,804 ","12,859,348,371 ",102.3 
202010,울산광역시,전체(시 / 군 / 구),일반용,"72,645 ","147,271,505 ","17,806,513,220 ",120.9 
202010,울산광역시,전체(시 / 군 / 구),교육용,431 ,"12,351,825 ","1,032,545,539 ",83.6 
202010,울산광역시,전체(시 / 군 / 구),산업용,"6,583 ","2,468,963,903 ","201,044,727,088 ",81.4 
202010,울산광역시,전체(시 / 군 / 구),농사용,"15,882 ","6,275,014 ","339,964,421 ",54.2 
202010,울산광역시,전체(시 / 군 / 구),가로등,"37,246 ","6,537,237 ","729,399,616 ",111.6 
202010,울산광역시,전체(시 / 군 / 구),심 야,"6,009 ","3,616,282 ","202,102,995 ",55.9 
202011,울산광역시,전체(시 / 군 / 구),주택용,"331,803 ","128,799,166 ","13,450,327,291 ",104.4 
202011,울산광역시,전체(시 / 군 / 구),일반용,"72,720 ","151,523,958 ","20,280,644,935 ",133.8 
202011,울산광역시,전체(시 / 군 / 구),교육용,430 ,"14,603,393 ","1,468,169,617 ",100.5 
202011,울산광역시,전체(시 / 군 / 구),산업용,"6,571 ","2,397,766,660 ","252,695,276,341 ",105.4 
202011,울산광역시,전체(시 / 군 / 구),농사용,"16,828 ","6,582,105 ","343,321,717 ",52.2 
202011,울산광역시,전체(시 / 군 / 구),가로등,"37,355 ","7,033,268 ","782,625,165 ",111.3 
202011,울산광역시,전체(시 / 군 / 구),심 야,"5,954 ","6,841,319 ","432,550,206 ",63.2 
202012,울산광역시,전체(시 / 군 / 구),주택용,"331,541 ","134,449,064 ","14,465,703,178 ",107.6 
202012,울산광역시,전체(시 / 군 / 구),일반용,"72,852 ","167,347,257 ","24,010,796,849 ",143.5 
202012,울산광역시,전체(시 / 군 / 구),교육용,430 ,"18,340,722 ","1,856,836,453 ",101.2 
202012,울산광역시,전체(시 / 군 / 구),산업용,"6,587 ","2,510,729,282 ","263,560,031,333 ",105.0 
202012,울산광역시,전체(시 / 군 / 구),농사용,"15,923 ","6,780,661 ","361,727,569 ",53.3 
202012,울산광역시,전체(시 / 군 / 구),가로등,"37,478 ","7,324,498 ","779,699,697 ",106.5 
202012,울산광역시,전체(시 / 군 / 구),심 야,"5,885 ","10,248,253 ","764,192,406 ",74.6 
합계,합계,합계,합계,"2,823,410","16,782,618,711","1,696,600,341,169",101.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,울산광역시,남구,가로등,"8,071 ","892,418 ","117,965,440 ",132.2 
202007,울산광역시,남구,교육용,102 ,"3,880,046 ","447,768,457 ",115.4 
202007,울산광역시,남구,농사용,191 ,"34,496 ","2,169,114 ",62.9 
202007,울산광역시,남구,산업용,"1,225 ","1,234,033,568 ","134,783,257,986 ",109.2 
202007,울산광역시,남구,심 야,"1,547 ","1,000,664 ","65,160,373 ",65.1 
202007,울산광역시,남구,일반용,"25,267 ","64,467,974 ","9,838,726,925 ",152.6 
202007,울산광역시,남구,주택용,"101,067 ","38,295,910 ","3,881,913,241 ",101.4 
202007,울산광역시,남구,합계,"137,470 ","1,342,605,076 ","149,136,961,536 ",111.1 
202007,울산광역시,동구,가로등,"3,234 ","532,290 ","65,599,452 ",123.2 
202007,울산광역시,동구,교육용,55 ,"1,523,848 ","166,213,733 ",109.1 
202007,울산광역시,동구,농사용,297 ,"140,165 ","7,310,623 ",52.2 
202007,울산광역시,동구,산업용,299 ,"98,806,028 ","12,208,164,086 ",123.6 
202007,울산광역시,동구,심 야,220 ,"99,101 ","5,702,688 ",57.5 
202007,울산광역시,동구,일반용,"7,665 ","18,778,971 ","2,823,187,112 ",150.3 
202007,울산광역시,동구,주택용,"48,241 ","16,755,410 ","1,581,685,763 ",94.4 
202007,울산광역시,동구,합계,"60,011 ","136,635,813 ","16,857,863,457 ",123.4 
202007,울산광역시,북구,가로등,"5,425 ","987,048 ","123,467,137 ",125.1 
202007,울산광역시,북구,교육용,90 ,"1,785,591 ","202,314,969 ",113.3 
202007,울산광역시,북구,농사용,"2,679 ","761,655 ","46,224,164 ",60.7 
202007,울산광역시,북구,산업용,"1,189 ","155,408,789 ","20,268,490,098 ",130.4 
202007,울산광역시,북구,심 야,717 ,"313,008 ","20,468,710 ",65.4 
202007,울산광역시,북구,일반용,"9,877 ","26,912,920 ","4,047,132,335 ",150.4 
202007,울산광역시,북구,주택용,"35,708 ","24,546,378 ","2,339,137,944 ",95.3 
