계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,제주특별자치도,전체(시 / 군 / 구),주택용,"299,397 ","75,463,993 ","7,853,560,096 ",104.1 
202007,제주특별자치도,전체(시 / 군 / 구),일반용,"80,129 ","174,704,725 ","26,423,727,870 ",151.2 
202007,제주특별자치도,전체(시 / 군 / 구),교육용,354 ,"11,045,761 ","1,280,065,131 ",115.9 
202007,제주특별자치도,전체(시 / 군 / 구),산업용,"3,603 ","55,182,007 ","7,316,437,154 ",132.6 
202007,제주특별자치도,전체(시 / 군 / 구),농사용,"47,488 ","99,131,566 ","4,782,297,000 ",48.2 
202007,제주특별자치도,전체(시 / 군 / 구),가로등,"36,982 ","3,421,307 ","445,242,992 ",130.1 
202007,제주특별자치도,전체(시 / 군 / 구),심 야,"6,654 ","5,508,019 ","341,812,439 ",62.1 
202008,제주특별자치도,전체(시 / 군 / 구),주택용,"299,602 ","105,198,457 ","12,848,763,688 ",122.1 
202008,제주특별자치도,전체(시 / 군 / 구),일반용,"80,418 ","218,689,078 ","30,864,341,261 ",141.1 
202008,제주특별자치도,전체(시 / 군 / 구),교육용,354 ,"14,369,520 ","1,507,178,924 ",104.9 
202008,제주특별자치도,전체(시 / 군 / 구),산업용,"3,623 ","57,038,486 ","7,359,165,931 ",129.0 
202008,제주특별자치도,전체(시 / 군 / 구),농사용,"47,485 ","106,074,929 ","5,053,281,200 ",47.6 
202008,제주특별자치도,전체(시 / 군 / 구),가로등,"44,092 ","3,573,845 ","437,445,349 ",122.4 
202008,제주특별자치도,전체(시 / 군 / 구),심 야,"6,632 ","6,735,090 ","441,667,536 ",65.6 
202009,제주특별자치도,전체(시 / 군 / 구),주택용,"299,840 ","103,760,745 ","13,472,593,133 ",129.8 
202009,제주특별자치도,전체(시 / 군 / 구),일반용,"80,746 ","198,321,013 ","25,276,309,484 ",127.5 
202009,제주특별자치도,전체(시 / 군 / 구),교육용,354 ,"11,200,377 ","1,181,112,352 ",105.5 
202009,제주특별자치도,전체(시 / 군 / 구),산업용,"3,636 ","56,435,650 ","6,335,015,240 ",112.3 
202009,제주특별자치도,전체(시 / 군 / 구),농사용,"47,553 ","103,839,585 ","4,891,838,256 ",47.1 
202009,제주특별자치도,전체(시 / 군 / 구),가로등,"42,629 ","3,801,497 ","444,513,625 ",116.9 
202009,제주특별자치도,전체(시 / 군 / 구),심 야,"6,624 ","4,549,810 ","370,082,113 ",81.3 
202010,제주특별자치도,전체(시 / 군 / 구),주택용,"300,539 ","68,805,321 ","7,270,073,263 ",105.7 
202010,제주특별자치도,전체(시 / 군 / 구),일반용,"80,991 ","156,218,333 ","18,500,843,452 ",118.4 
202010,제주특별자치도,전체(시 / 군 / 구),교육용,353 ,"8,849,024 ","772,607,195 ",87.3 
202010,제주특별자치도,전체(시 / 군 / 구),산업용,"3,652 ","52,862,297 ","5,572,060,173 ",105.4 
202010,제주특별자치도,전체(시 / 군 / 구),농사용,"47,626 ","95,452,093 ","4,478,947,047 ",46.9 
202010,제주특별자치도,전체(시 / 군 / 구),가로등,"42,848 ","4,182,523 ","452,984,380 ",108.3 
202010,제주특별자치도,전체(시 / 군 / 구),심 야,"6,609 ","4,400,731 ","272,266,611 ",61.9 
202011,제주특별자치도,전체(시 / 군 / 구),주택용,"301,159 ","70,851,941 ","7,685,115,755 ",108.5 
202011,제주특별자치도,전체(시 / 군 / 구),일반용,"81,228 ","159,817,864 ","21,288,730,359 ",133.2 
202011,제주특별자치도,전체(시 / 군 / 구),교육용,351 ,"9,714,575 ","1,012,871,754 ",104.3 
202011,제주특별자치도,전체(시 / 군 / 구),산업용,"3,673 ","55,781,434 ","6,770,443,903 ",121.4 
