년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202101-202106,강원도,강릉시,일반용,21279,300071441,30.77
202101-202106,강원도,강릉시,합계,23442,975233899,
202101-202106,강원도,고성군,일반용,4496,77602419,44.79
202101-202106,강원도,고성군,합계,5194,173267534,
202101-202106,강원도,동해시,일반용,7602,104606047,9.85
202101-202106,강원도,동해시,합계,8391,1061512308,
202101-202106,강원도,삼척시,일반용,7123,82646211,11.45
202101-202106,강원도,삼척시,합계,9700,721993952,
202101-202106,강원도,속초시,일반용,8658,213960177,61.74
202101-202106,강원도,속초시,합계,7004,346573706,
202101-202106,강원도,양구군,일반용,2801,43189859,38.74
202101-202106,강원도,양구군,합계,4224,111500571,
202101-202106,강원도,양양군,일반용,4497,72250790,44.33
202101-202106,강원도,양양군,합계,5473,162973370,
202101-202106,강원도,영월군,일반용,4253,45451521,8.02
202101-202106,강원도,영월군,합계,7190,566497755,
202101-202106,강원도,원주시,일반용,26997,410175048,31.64
202101-202106,강원도,원주시,합계,28399,1296223979,
202101-202106,강원도,인제군,일반용,4845,78320064,42.75
202101-202106,강원도,인제군,합계,6318,183214652,
202101-202106,강원도,정선군,일반용,5073,94141931,31.68
202101-202106,강원도,정선군,합계,6958,297174891,
202101-202106,강원도,철원군,일반용,5013,86313871,31.71
202101-202106,강원도,철원군,합계,7544,272238098,
202101-202106,강원도,춘천시,일반용,21900,410292322,44.19
202101-202106,강원도,춘천시,합계,25213,928399383,
202101-202106,강원도,태백시,일반용,4359,50598918,31.23
202101-202106,강원도,태백시,합계,4701,162020283,
202101-202106,강원도,평창군,일반용,6750,119131079,35.47
202101-202106,강원도,평창군,합계,9437,335900055,
202101-202106,강원도,홍천군,일반용,8500,127883631,33.1
202101-202106,강원도,홍천군,합계,13240,386364996,
202101-202106,강원도,화천군,일반용,3312,64991535,46.4
202101-202106,강원도,화천군,합계,4654,140072398,
202101-202106,강원도,횡성군,일반용,5307,62672342,18.23
202101-202106,강원도,횡성군,합계,10005,343721138,
