년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202101-202106,서울특별시,강남구,일반용,50810,1574945748,71.44
202101-202106,서울특별시,강남구,합계,32538,2204536417,
202101-202106,서울특별시,강동구,일반용,20107,346675569,44.9
202101-202106,서울특별시,강동구,합계,23602,772078682,
202101-202106,서울특별시,강북구,일반용,16318,189277767,43.24
202101-202106,서울특별시,강북구,합계,24910,437715419,
202101-202106,서울특별시,강서구,일반용,23825,664194823,52.03
202101-202106,서울특별시,강서구,합계,35092,1276469720,
202101-202106,서울특별시,관악구,일반용,25087,355045679,43.4
202101-202106,서울특별시,관악구,합계,46239,818131335,
202101-202106,서울특별시,광진구,일반용,21150,283262375,38.12
202101-202106,서울특별시,광진구,합계,30131,743006498,
202101-202106,서울특별시,구로구,일반용,18416,389480577,43.82
202101-202106,서울특별시,구로구,합계,23201,888800641,
202101-202106,서울특별시,금천구,일반용,13542,481877475,61.63
202101-202106,서울특별시,금천구,합계,18103,781941720,
202101-202106,서울특별시,노원구,일반용,15015,285080769,39.25
202101-202106,서울특별시,노원구,합계,18520,726403671,
202101-202106,서울특별시,도봉구,일반용,12428,161099938,37.88
202101-202106,서울특별시,도봉구,합계,17197,425328373,
202101-202106,서울특별시,동대문구,일반용,23411,293752423,43.06
202101-202106,서울특별시,동대문구,합계,24895,682242106,
202101-202106,서울특별시,동작구,일반용,16741,269562682,44.38
202101-202106,서울특별시,동작구,합계,27620,607334957,
202101-202106,서울특별시,마포구,일반용,30298,605893921,59.67
202101-202106,서울특별시,마포구,합계,25367,1015339077,
202101-202106,서울특별시,서대문구,일반용,15906,262266538,44.25
202101-202106,서울특별시,서대문구,합계,20049,592724082,
202101-202106,서울특별시,서초구,일반용,30668,948017006,61.23
202101-202106,서울특별시,서초구,합계,21698,1548291451,
202101-202106,서울특별시,성동구,일반용,16439,355061561,33.45
202101-202106,서울특별시,성동구,합계,16047,1061598608,
202101-202106,서울특별시,성북구,일반용,21035,250447077,35.47
202101-202106,서울특별시,성북구,합계,25790,706094692,
202101-202106,서울특별시,송파구,일반용,28888,725594312,53.79
202101-202106,서울특별시,송파구,합계,30025,1348902997,
202101-202106,서울특별시,양천구,일반용,16681,482384565,56.42
202101-202106,서울특별시,양천구,합계,21238,854974512,
202101-202106,서울특별시,영등포구,일반용,23657,821435134,63.74
202101-202106,서울특별시,영등포구,합계,24187,1288639167,
202101-202106,서울특별시,용산구,일반용,17106,370040792,55.4
202101-202106,서울특별시,용산구,합계,18078,667933634,
202101-202106,서울특별시,은평구,일반용,20635,254157899,36.2
202101-202106,서울특별시,은평구,합계,32276,702154386,
202101-202106,서울특별시,종로구,일반용,24784,569720336,70.77
202101-202106,서울특별시,종로구,합계,17540,805042481,
202101-202106,서울특별시,중구,일반용,23436,809655543,76.07
202101-202106,서울특별시,중구,합계,13159,1064373361,
202101-202106,서울특별시,중랑구,일반용,20224,218596571,40.42
202101-202106,서울특별시,중랑구,합계,29131,540789112,
