계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,인천광역시,전체(시 / 군 / 구),주택용,"754,716 ","415,306,061 ","48,683,421,711 ",117.2 
202101,인천광역시,전체(시 / 군 / 구),일반용,"141,266 ","594,853,766 ","76,353,838,442 ",128.4 
202101,인천광역시,전체(시 / 군 / 구),교육용,977 ,"41,031,658 ","3,802,129,086 ",92.7 
202101,인천광역시,전체(시 / 군 / 구),산업용,"19,731 ","1,142,637,275 ","131,507,703,731 ",115.1 
202101,인천광역시,전체(시 / 군 / 구),농사용,"26,379 ","13,049,020 ","626,497,033 ",48.0 
202101,인천광역시,전체(시 / 군 / 구),가로등,"71,450 ","15,683,789 ","1,662,988,653 ",106.0 
202101,인천광역시,전체(시 / 군 / 구),심 야,"14,351 ","36,062,435 ","2,639,921,490 ",73.2 
202102,인천광역시,전체(시 / 군 / 구),주택용,"754,660 ","399,007,877 ","45,518,986,469 ",114.1 
202102,인천광역시,전체(시 / 군 / 구),일반용,"141,323 ","556,369,967 ","72,693,594,407 ",130.7 
202102,인천광역시,전체(시 / 군 / 구),교육용,978 ,"33,528,394 ","3,358,176,617 ",100.2 
202102,인천광역시,전체(시 / 군 / 구),산업용,"19,748 ","1,039,257,457 ","122,319,480,322 ",117.7 
202102,인천광역시,전체(시 / 군 / 구),농사용,"26,378 ","12,553,036 ","607,672,138 ",48.4 
202102,인천광역시,전체(시 / 군 / 구),가로등,"71,491 ","14,405,029 ","1,591,115,095 ",110.5 
202102,인천광역시,전체(시 / 군 / 구),심 야,"14,291 ","34,309,121 ","2,514,170,139 ",73.3 
202103,인천광역시,전체(시 / 군 / 구),주택용,"754,758 ","343,945,674 ","35,224,316,735 ",102.4 
202103,인천광역시,전체(시 / 군 / 구),일반용,"141,336 ","476,594,154 ","57,470,432,013 ",120.6 
202103,인천광역시,전체(시 / 군 / 구),교육용,980 ,"33,094,449 ","3,057,380,031 ",92.4 
202103,인천광역시,전체(시 / 군 / 구),산업용,"19,751 ","1,117,997,431 ","107,666,367,071 ",96.3 
202103,인천광역시,전체(시 / 군 / 구),농사용,"34,128 ","11,110,390 ","553,632,927 ",49.8 
202103,인천광역시,전체(시 / 군 / 구),가로등,"71,623 ","13,124,340 ","1,478,972,369 ",112.7 
202103,인천광역시,전체(시 / 군 / 구),심 야,"14,254 ","25,435,860 ","1,655,446,274 ",65.1 
202104,인천광역시,전체(시 / 군 / 구),주택용,"755,329 ","351,840,880 ","36,512,493,678 ",103.8 
202104,인천광역시,전체(시 / 군 / 구),일반용,"141,567 ","444,384,930 ","50,828,410,245 ",114.4 
202104,인천광역시,전체(시 / 군 / 구),교육용,981 ,"23,235,932 ","2,158,901,062 ",92.9 
