계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,세종특별자치시,전체(시 / 군 / 구),주택용,"54,198 ","49,869,896 ","5,192,142,613 ",104.1 
202107,세종특별자치시,전체(시 / 군 / 구),일반용,"14,520 ","73,330,465 ","10,570,743,751 ",144.2 
202107,세종특별자치시,전체(시 / 군 / 구),교육용,151 ,"6,155,191 ","715,278,631 ",116.2 
202107,세종특별자치시,전체(시 / 군 / 구),산업용,"1,664 ","174,174,622 ","20,476,801,068 ",117.6 
202107,세종특별자치시,전체(시 / 군 / 구),농사용,"10,184 ","7,685,545 ","351,650,798 ",45.8 
202107,세종특별자치시,전체(시 / 군 / 구),가로등,"14,246 ","2,383,116 ","288,611,351 ",121.1 
202107,세종특별자치시,전체(시 / 군 / 구),심 야,"7,001 ","1,699,694 ","96,343,470 ",56.7 
202108,세종특별자치시,전체(시 / 군 / 구),주택용,"54,207 ","71,904,003 ","8,629,545,588 ",120.0 
202108,세종특별자치시,전체(시 / 군 / 구),일반용,"14,633 ","79,976,832 ","11,246,455,079 ",140.6 
202108,세종특별자치시,전체(시 / 군 / 구),교육용,151 ,"5,625,312 ","687,931,601 ",122.3 
202108,세종특별자치시,전체(시 / 군 / 구),산업용,"1,674 ","166,810,462 ","19,164,073,394 ",114.9 
202108,세종특별자치시,전체(시 / 군 / 구),농사용,"10,231 ","10,788,765 ","466,991,714 ",43.3 
202108,세종특별자치시,전체(시 / 군 / 구),가로등,"14,276 ","2,520,946 ","296,355,045 ",117.6 
202108,세종특별자치시,전체(시 / 군 / 구),심 야,"6,987 ","1,375,779 ","79,848,751 ",58.0 
202109,세종특별자치시,전체(시 / 군 / 구),주택용,"54,605 ","60,816,118 ","6,560,485,211 ",107.9 
202109,세종특별자치시,전체(시 / 군 / 구),일반용,"14,753 ","68,787,186 ","8,632,677,399 ",125.5 
202109,세종특별자치시,전체(시 / 군 / 구),교육용,151 ,"6,224,255 ","674,463,843 ",108.4 
202109,세종특별자치시,전체(시 / 군 / 구),산업용,"1,676 ","160,030,114 ","14,836,984,978 ",92.7 
202109,세종특별자치시,전체(시 / 군 / 구),농사용,"10,271 ","9,285,211 ","413,860,060 ",44.6 
202109,세종특별자치시,전체(시 / 군 / 구),가로등,"14,299 ","2,653,518 ","304,907,934 ",114.9 
202109,세종특별자치시,전체(시 / 군 / 구),심 야,"6,981 ","1,554,697 ","87,657,741 ",56.4 
202110,세종특별자치시,전체(시 / 군 / 구),주택용,"54,710 ","47,987,667 ","5,045,779,506 ",105.1 
202110,세종특별자치시,전체(시 / 군 / 구),일반용,"14,821 ","60,864,010 ","7,115,689,521 ",116.9 
202110,세종특별자치시,전체(시 / 군 / 구),교육용,151 ,"5,467,544 ","503,840,044 ",92.2 
202110,세종특별자치시,전체(시 / 군 / 구),산업용,"1,688 ","160,105,571 ","14,696,367,642 ",91.8 
202110,세종특별자치시,전체(시 / 군 / 구),농사용,"10,291 ","7,156,614 ","358,379,393 ",50.1 
202110,세종특별자치시,전체(시 / 군 / 구),가로등,"14,329 ","2,853,168 ","321,766,601 ",112.8 
202110,세종특별자치시,전체(시 / 군 / 구),심 야,"6,972 ","2,266,419 ","127,884,586 ",56.4 
202111,세종특별자치시,전체(시 / 군 / 구),주택용,"54,762 ","49,000,537 ","5,292,863,383 ",108.0 
202111,세종특별자치시,전체(시 / 군 / 구),일반용,"14,953 ","60,730,206 ","8,209,493,796 ",135.2 
202111,세종특별자치시,전체(시 / 군 / 구),교육용,151 ,"6,562,494 ","668,958,659 ",101.9 
202111,세종특별자치시,전체(시 / 군 / 구),산업용,"1,691 ","161,778,265 ","18,897,693,222 ",116.8 
202111,세종특별자치시,전체(시 / 군 / 구),농사용,"15,243 ","10,000,246 ","412,047,891 ",41.2 
202111,세종특별자치시,전체(시 / 군 / 구),가로등,"14,367 ","3,140,008 ","346,686,575 ",110.4 
202111,세종특별자치시,전체(시 / 군 / 구),심 야,"6,966 ","6,078,348 ","396,179,175 ",65.2 
202112,세종특별자치시,전체(시 / 군 / 구),주택용,"54,837 ","49,670,256 ","5,438,745,098 ",109.5 
202112,세종특별자치시,전체(시 / 군 / 구),일반용,"15,037 ","710,372,301 ","53,916,553,410 ",75.9 
202112,세종특별자치시,전체(시 / 군 / 구),교육용,151 ,"8,728,109 ","859,686,263 ",98.5 
202112,세종특별자치시,전체(시 / 군 / 구),산업용,"1,691 ","169,320,998 ","19,803,420,187 ",117.0 
202112,세종특별자치시,전체(시 / 군 / 구),농사용,"10,330 ","7,146,127 ","356,316,714 ",49.9 
202112,세종특별자치시,전체(시 / 군 / 구),가로등,"14,390 ","3,264,933 ","353,445,140 ",108.3 
202112,세종특별자치시,전체(시 / 군 / 구),심 야,"6,945 ","9,431,606 ","713,046,680 ",75.6 
합계,합계,합계,합계,"621,335","2,505,577,154","253,608,653,506",101.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,세종특별자치시,세종시,가로등,"14,246 ","2,383,116 ","288,611,351 ",121.1 
202107,세종특별자치시,세종시,교육용,151 ,"6,155,191 ","715,278,631 ",116.2 
202107,세종특별자치시,세종시,농사용,"10,184 ","7,685,545 ","351,650,798 ",45.8 
202107,세종특별자치시,세종시,산업용,"1,664 ","174,174,622 ","20,476,801,068 ",117.6 
202107,세종특별자치시,세종시,심 야,"7,001 ","1,699,694 ","96,343,470 ",56.7 
202107,세종특별자치시,세종시,일반용,"14,520 ","73,330,465 ","10,570,743,751 ",144.2 
202107,세종특별자치시,세종시,주택용,"54,198 ","49,869,896 ","5,192,142,613 ",104.1 
202107,세종특별자치시,세종시,합계,"101,964 ","315,298,529 ","37,691,571,682 ",119.5 
202108,세종특별자치시,세종시,가로등,"14,276 ","2,520,946 ","296,355,045 ",117.6 
202108,세종특별자치시,세종시,교육용,151 ,"5,625,312 ","687,931,601 ",122.3 
202108,세종특별자치시,세종시,농사용,"10,231 ","10,788,765 ","466,991,714 ",43.3 
202108,세종특별자치시,세종시,산업용,"1,674 ","166,810,462 ","19,164,073,394 ",114.9 
202108,세종특별자치시,세종시,심 야,"6,987 ","1,375,779 ","79,848,751 ",58 
202108,세종특별자치시,세종시,일반용,"14,633 ","79,976,832 ","11,246,455,079 ",140.6 
202108,세종특별자치시,세종시,주택용,"54,207 ","71,904,003 ","8,629,545,588 ",120 
202108,세종특별자치시,세종시,합계,"102,159 ","339,002,099 ","40,571,201,172 ",119.7 
202109,세종특별자치시,세종시,가로등,"14,299 ","2,653,518 ","304,907,934 ",114.9 
202109,세종특별자치시,세종시,교육용,151 ,"6,224,255 ","674,463,843 ",108.4 
202109,세종특별자치시,세종시,농사용,"10,271 ","9,285,211 ","413,860,060 ",44.6 
202109,세종특별자치시,세종시,산업용,"1,676 ","160,030,114 ","14,836,984,978 ",92.7 
202109,세종특별자치시,세종시,심 야,"6,981 ","1,554,697 ","87,657,741 ",56.4 
202109,세종특별자치시,세종시,일반용,"14,753 ","68,787,186 ","8,632,677,399 ",125.5 
202109,세종특별자치시,세종시,주택용,"54,605 ","60,816,118 ","6,560,485,211 ",107.9 
202109,세종특별자치시,세종시,합계,"102,736 ","309,351,099 ","31,511,037,166 ",101.9 
202110,세종특별자치시,세종시,가로등,"14,329 ","2,853,168 ","321,766,601 ",112.8 
202110,세종특별자치시,세종시,교육용,151 ,"5,467,544 ","503,840,044 ",92.2 
202110,세종특별자치시,세종시,농사용,"10,291 ","7,156,614 ","358,379,393 ",50.1 
202110,세종특별자치시,세종시,산업용,"1,688 ","160,105,571 ","14,696,367,642 ",91.8 
202110,세종특별자치시,세종시,심 야,"6,972 ","2,266,419 ","127,884,586 ",56.4 
202110,세종특별자치시,세종시,일반용,"14,821 ","60,864,010 ","7,115,689,521 ",116.9 
202110,세종특별자치시,세종시,주택용,"54,710 ","47,987,667 ","5,045,779,506 ",105.1 
202110,세종특별자치시,세종시,합계,"102,962 ","286,700,993 ","28,169,707,293 ",98.3 
202111,세종특별자치시,세종시,가로등,"14,367 ","3,140,008 ","346,686,575 ",110.4 
202111,세종특별자치시,세종시,교육용,151 ,"6,562,494 ","668,958,659 ",101.9 
202111,세종특별자치시,세종시,농사용,"15,243 ","10,000,246 ","412,047,891 ",41.2 
202111,세종특별자치시,세종시,산업용,"1,691 ","161,778,265 ","18,897,693,222 ",116.8 
202111,세종특별자치시,세종시,심 야,"6,966 ","6,078,348 ","396,179,175 ",65.2 
