계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 07 월 ~ 2021년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,인천광역시,전체(시 / 군 / 구),주택용,"756,809 ","420,911,665 ","47,123,270,488 ",112.0 
202107,인천광역시,전체(시 / 군 / 구),일반용,"142,468 ","565,920,596 ","79,536,048,680 ",140.5 
202107,인천광역시,전체(시 / 군 / 구),교육용,975 ,"27,608,642 ","3,391,164,194 ",122.8 
202107,인천광역시,전체(시 / 군 / 구),산업용,"19,826 ","1,146,345,507 ","137,711,669,664 ",120.1 
202107,인천광역시,전체(시 / 군 / 구),농사용,"27,078 ","12,003,150 ","583,306,915 ",48.6 
202107,인천광역시,전체(시 / 군 / 구),가로등,"72,163 ","10,692,265 ","1,320,348,850 ",123.5 
202107,인천광역시,전체(시 / 군 / 구),심 야,"14,034 ","7,814,903 ","470,464,552 ",60.2 
202108,인천광역시,전체(시 / 군 / 구),주택용,"756,868 ","566,349,753 ","72,031,297,122 ",127.2 
202108,인천광역시,전체(시 / 군 / 구),일반용,"142,898 ","625,697,395 ","85,212,510,613 ",136.2 
202108,인천광역시,전체(시 / 군 / 구),교육용,975 ,"25,849,529 ","3,193,088,450 ",123.5 
202108,인천광역시,전체(시 / 군 / 구),산업용,"19,840 ","1,133,521,394 ","133,519,406,023 ",117.8 
202108,인천광역시,전체(시 / 군 / 구),농사용,"27,225 ","18,226,804 ","809,039,564 ",44.4 
202108,인천광역시,전체(시 / 군 / 구),가로등,"72,389 ","11,384,054 ","1,362,147,583 ",119.7 
202108,인천광역시,전체(시 / 군 / 구),심 야,"13,985 ","6,457,128 ","393,972,636 ",61.0 
202109,인천광역시,전체(시 / 군 / 구),주택용,"756,882 ","419,685,629 ","45,375,978,756 ",108.1 
202109,인천광역시,전체(시 / 군 / 구),일반용,"143,176 ","537,377,402 ","64,804,159,844 ",120.6 
202109,인천광역시,전체(시 / 군 / 구),교육용,980 ,"25,760,190 ","2,503,374,647 ",97.2 
202109,인천광역시,전체(시 / 군 / 구),산업용,"19,861 ","1,044,166,546 ","103,739,022,293 ",99.4 
202109,인천광역시,전체(시 / 군 / 구),농사용,"27,351 ","19,874,086 ","881,701,913 ",44.4 
202109,인천광역시,전체(시 / 군 / 구),가로등,"72,435 ","12,035,012 ","1,403,208,442 ",116.6 
202109,인천광역시,전체(시 / 군 / 구),심 야,"13,951 ","6,272,354 ","363,540,380 ",58.0 
202110,인천광역시,전체(시 / 군 / 구),주택용,"756,747 ","356,672,586 ","38,568,522,496 ",108.1 
202110,인천광역시,전체(시 / 군 / 구),일반용,"143,278 ","474,072,210 ","53,753,964,580 ",113.4 
202110,인천광역시,전체(시 / 군 / 구),교육용,978 ,"22,481,369 ","2,250,918,585 ",100.1 
202110,인천광역시,전체(시 / 군 / 구),산업용,"19,877 ","1,037,432,020 ","100,903,344,997 ",97.3 
202110,인천광역시,전체(시 / 군 / 구),농사용,"27,412 ","14,782,513 ","743,357,047 ",50.3 
202110,인천광역시,전체(시 / 군 / 구),가로등,"72,647 ","13,131,515 ","1,505,672,430 ",114.7 
202110,인천광역시,전체(시 / 군 / 구),심 야,"13,898 ","6,450,990 ","390,193,440 ",60.5 
202111,인천광역시,전체(시 / 군 / 구),주택용,"757,125 ","360,757,928 ","39,605,626,638 ",109.8 
202111,인천광역시,전체(시 / 군 / 구),일반용,"143,648 ","468,938,682 ","62,223,555,370 ",132.7 
202111,인천광역시,전체(시 / 군 / 구),교육용,976 ,"30,532,339 ","3,634,199,759 ",119.0 
202111,인천광역시,전체(시 / 군 / 구),산업용,"19,926 ","1,037,858,004 ","124,821,533,113 ",120.3 
202111,인천광역시,전체(시 / 군 / 구),농사용,"35,177 ","19,741,441 ","829,690,346 ",42.0 
202111,인천광역시,전체(시 / 군 / 구),가로등,"72,956 ","14,071,432 ","1,578,199,677 ",112.2 
202111,인천광역시,전체(시 / 군 / 구),심 야,"13,856 ","14,516,770 ","951,426,755 ",65.5 
202112,인천광역시,전체(시 / 군 / 구),주택용,"757,462 ","375,990,440 ","42,377,535,283 ",112.7 
202112,인천광역시,전체(시 / 군 / 구),일반용,"144,307 ","548,526,695 ","74,672,302,588 ",136.1 
202112,인천광역시,전체(시 / 군 / 구),교육용,975 ,"46,804,220 ","4,476,608,912 ",95.6 
202112,인천광역시,전체(시 / 군 / 구),산업용,"19,939 ","1,133,402,851 ","136,862,015,552 ",120.8 
202112,인천광역시,전체(시 / 군 / 구),농사용,"32,071 ","16,442,844 ","730,059,922 ",44.4 
202112,인천광역시,전체(시 / 군 / 구),가로등,"73,549 ","14,748,762 ","1,619,130,784 ",109.8 
202112,인천광역시,전체(시 / 군 / 구),심 야,"13,790 ","23,408,582 ","1,785,888,328 ",76.3 
합계,합계,합계,합계,"6,222,763","12,674,718,197","1,480,012,468,211",116.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202107,인천광역시,강화군,가로등,"11,139 ","686,417 ","86,265,748 ",125.7 
202107,인천광역시,강화군,교육용,63 ,"886,546 ","115,636,556 ",130.4 
202107,인천광역시,강화군,농사용,"17,245 ","7,814,605 ","374,513,235 ",47.9 
202107,인천광역시,강화군,산업용,996 ,"9,339,194 ","1,305,861,517 ",139.8 
202107,인천광역시,강화군,심 야,"6,333 ","2,195,094 ","114,394,281 ",52.1 
202107,인천광역시,강화군,일반용,"8,382 ","13,998,334 ","2,223,065,344 ",158.8 
202107,인천광역시,강화군,주택용,"40,046 ","7,087,831 ","848,055,369 ",119.6 
202107,인천광역시,강화군,합계,"84,204 ","42,008,021 ","5,067,792,050 ",120.6 
202107,인천광역시,계양구,가로등,"3,521 ","775,063 ","97,572,213 ",125.9 
202107,인천광역시,계양구,교육용,87 ,"2,030,956 ","258,222,035 ",127.1 
202107,인천광역시,계양구,농사용,"2,140 ","728,924 ","39,983,153 ",54.9 
202107,인천광역시,계양구,산업용,"1,362 ","34,435,046 ","4,339,759,359 ",126 
202107,인천광역시,계양구,심 야,548 ,"294,838 ","15,817,855 ",53.6 
202107,인천광역시,계양구,일반용,"12,619 ","39,805,636 ","5,643,683,622 ",141.8 
202107,인천광역시,계양구,주택용,"77,227 ","38,676,111 ","4,057,821,945 ",104.9 
202107,인천광역시,계양구,합계,"97,504 ","116,746,574 ","14,452,860,182 ",123.8 
202107,인천광역시,남동구,가로등,"10,439 ","1,404,884 ","172,169,120 ",122.6 
202107,인천광역시,남동구,교육용,147 ,"2,628,499 ","346,666,304 ",131.9 
202107,인천광역시,남동구,농사용,"1,798 ","700,703 ","37,846,843 ",54 
202107,인천광역시,남동구,산업용,"4,644 ","176,334,493 ","24,250,453,530 ",137.5 
202107,인천광역시,남동구,심 야,840 ,"473,050 ","27,676,418 ",58.5 
202107,인천광역시,남동구,일반용,"23,970 ","85,468,163 ","12,203,649,325 ",142.8 
202107,인천광역시,남동구,주택용,"116,484 ","73,123,492 ","7,799,034,601 ",106.7 
