년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202107-202112,인천광역시,강화군,일반용,8489,91146137,30.39
202107-202112,인천광역시,강화군,합계,14452,299898756,
202107-202112,인천광역시,계양구,일반용,12675,226136979,33.11
202107-202112,인천광역시,계양구,합계,16255,683011394,
202107-202112,인천광역시,남동구,일반용,24039,481398017,24.39
202107-202112,인천광역시,남동구,합계,26411,1973927607,
202107-202112,인천광역시,동구,일반용,3701,56018890,3.06
202107-202112,인천광역시,동구,합계,4315,1830287529,
202107-202112,인천광역시,미추홀구,일반용,21636,321791087,35.41
202107-202112,인천광역시,미추홀구,합계,32092,908847629,
202107-202112,인천광역시,부평구,일반용,21945,399917742,34.08
202107-202112,인천광역시,부평구,합계,26277,1173607460,
202107-202112,인천광역시,서구,일반용,25004,583057969,19.68
202107-202112,인천광역시,서구,합계,27867,2962030284,
202107-202112,인천광역시,연수구,일반용,10008,419981401,28.85
202107-202112,인천광역시,연수구,합계,10573,1455916653,
202107-202112,인천광역시,옹진군,일반용,4057,57922798,52.75
202107-202112,인천광역시,옹진군,합계,4288,109799443,
202107-202112,인천광역시,중구,일반용,11737,583161960,45.65
202107-202112,인천광역시,중구,합계,10322,1277391442,
