계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,대구광역시,전체(시 / 군 / 구),주택용,"652,218 ","319,032,372 ","36,242,874,242 ",113.6 
202201,대구광역시,전체(시 / 군 / 구),일반용,"157,580 ","461,761,070 ","60,713,136,059 ",131.5 
202201,대구광역시,전체(시 / 군 / 구),교육용,824 ,"39,342,064 ","3,980,751,933 ",101.2 
202201,대구광역시,전체(시 / 군 / 구),산업용,"20,288 ","581,251,315 ","70,128,719,666 ",120.7 
202201,대구광역시,전체(시 / 군 / 구),농사용,"16,454 ","9,240,998 ","464,743,237 ",50.3 
202201,대구광역시,전체(시 / 군 / 구),가로등,"65,097 ","12,424,748 ","1,322,806,862 ",106.5 
202201,대구광역시,전체(시 / 군 / 구),심 야,"15,737 ","26,464,127 ","1,990,872,119 ",75.2 
202202,대구광역시,전체(시 / 군 / 구),주택용,"651,608 ","320,259,795 ","36,434,069,237 ",113.8 
202202,대구광역시,전체(시 / 군 / 구),일반용,"157,734 ","444,821,658 ","58,934,806,012 ",132.5 
202202,대구광역시,전체(시 / 군 / 구),교육용,823 ,"35,207,941 ","3,668,381,941 ",104.2 
202202,대구광역시,전체(시 / 군 / 구),산업용,"20,301 ","540,481,749 ","66,318,393,080 ",122.7 
202202,대구광역시,전체(시 / 군 / 구),농사용,"16,483 ","9,450,795 ","476,289,128 ",50.4 
202202,대구광역시,전체(시 / 군 / 구),가로등,"65,073 ","11,674,498 ","1,282,158,555 ",109.8 
202202,대구광역시,전체(시 / 군 / 구),심 야,"15,690 ","26,728,906 ","2,009,174,761 ",75.2 
202203,대구광역시,전체(시 / 군 / 구),주택용,"651,161 ","282,115,884 ","29,422,861,942 ",104.3 
202203,대구광역시,전체(시 / 군 / 구),일반용,"157,918 ","382,325,724 ","47,579,548,468 ",124.4 
202203,대구광역시,전체(시 / 군 / 구),교육용,824 ,"31,958,576 ","3,147,604,036 ",98.5 
202203,대구광역시,전체(시 / 군 / 구),산업용,"20,293 ","550,895,458 ","57,697,147,362 ",104.7 
202203,대구광역시,전체(시 / 군 / 구),농사용,"16,923 ","7,723,882 ","398,707,160 ",51.6 
202203,대구광역시,전체(시 / 군 / 구),가로등,"65,128 ","10,569,879 ","1,168,482,452 ",110.5 
202203,대구광역시,전체(시 / 군 / 구),심 야,"15,632 ","20,754,595 ","1,389,493,196 ",66.9 
202204,대구광역시,전체(시 / 군 / 구),주택용,"650,770 ","288,010,573 ","31,061,214,591 ",107.8 
202204,대구광역시,전체(시 / 군 / 구),일반용,"158,241 ","359,197,150 ","43,012,557,668 ",119.7 
202204,대구광역시,전체(시 / 군 / 구),교육용,822 ,"27,584,620 ","2,651,376,189 ",96.1 
202204,대구광역시,전체(시 / 군 / 구),산업용,"20,265 ","541,366,130 ","57,693,676,237 ",106.6 
202204,대구광역시,전체(시 / 군 / 구),농사용,"16,708 ","6,669,495 ","369,858,996 ",55.5 
202204,대구광역시,전체(시 / 군 / 구),가로등,"65,041 ","10,414,655 ","1,219,253,191 ",117.1 
202204,대구광역시,전체(시 / 군 / 구),심 야,"15,559 ","14,759,822 ","870,502,653 ",59.0 
202205,대구광역시,전체(시 / 군 / 구),주택용,"650,221 ","265,238,325 ","28,374,824,909 ",107.0 
202205,대구광역시,전체(시 / 군 / 구),일반용,"158,466 ","349,012,374 ","43,353,981,529 ",124.2 
202205,대구광역시,전체(시 / 군 / 구),교육용,820 ,"23,936,627 ","2,340,312,231 ",97.8 
202205,대구광역시,전체(시 / 군 / 구),산업용,"20,291 ","528,692,882 ","57,592,606,414 ",108.9 
