계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,대전광역시,전체(시 / 군 / 구),주택용,"442,609 ","191,947,666 ","21,471,292,757 ",111.9 
202201,대전광역시,전체(시 / 군 / 구),일반용,"84,625 ","360,503,489 ","46,688,978,334 ",129.5 
202201,대전광역시,전체(시 / 군 / 구),교육용,612 ,"45,470,460 ","4,311,477,066 ",94.8 
202201,대전광역시,전체(시 / 군 / 구),산업용,"5,602 ","278,847,200 ","32,807,220,743 ",117.7 
202201,대전광역시,전체(시 / 군 / 구),농사용,"8,374 ","4,297,490 ","217,784,660 ",50.7 
202201,대전광역시,전체(시 / 군 / 구),가로등,"39,385 ","7,042,079 ","768,823,514 ",109.2 
202201,대전광역시,전체(시 / 군 / 구),심 야,"13,882 ","25,115,009 ","1,894,202,788 ",75.4 
202202,대전광역시,전체(시 / 군 / 구),주택용,"442,728 ","193,287,538 ","21,660,123,566 ",112.1 
202202,대전광역시,전체(시 / 군 / 구),일반용,"84,705 ","348,017,858 ","45,313,174,738 ",130.2 
202202,대전광역시,전체(시 / 군 / 구),교육용,614 ,"40,048,441 ","3,904,300,778 ",97.5 
202202,대전광역시,전체(시 / 군 / 구),산업용,"5,614 ","254,540,977 ","30,384,682,014 ",119.4 
202202,대전광역시,전체(시 / 군 / 구),농사용,"8,377 ","4,324,439 ","218,744,344 ",50.6 
202202,대전광역시,전체(시 / 군 / 구),가로등,"39,317 ","6,685,286 ","752,657,474 ",112.6 
202202,대전광역시,전체(시 / 군 / 구),심 야,"13,850 ","25,615,109 ","1,926,304,496 ",75.2 
202203,대전광역시,전체(시 / 군 / 구),주택용,"442,736 ","169,728,582 ","17,468,339,768 ",102.9 
202203,대전광역시,전체(시 / 군 / 구),일반용,"84,909 ","308,413,576 ","37,060,020,737 ",120.2 
202203,대전광역시,전체(시 / 군 / 구),교육용,614 ,"37,979,342 ","3,565,405,914 ",93.9 
202203,대전광역시,전체(시 / 군 / 구),산업용,"5,615 ","264,916,619 ","26,079,160,109 ",98.4 
202203,대전광역시,전체(시 / 군 / 구),농사용,"9,701 ","3,426,988 ","182,036,622 ",53.1 
202203,대전광역시,전체(시 / 군 / 구),가로등,"39,279 ","6,018,771 ","694,960,091 ",115.5 
202203,대전광역시,전체(시 / 군 / 구),심 야,"13,810 ","19,945,207 ","1,342,689,808 ",67.3 
202204,대전광역시,전체(시 / 군 / 구),주택용,"442,525 ","175,254,172 ","18,734,786,130 ",106.9 
202204,대전광역시,전체(시 / 군 / 구),일반용,"85,100 ","289,532,267 ","33,684,493,471 ",116.3 
202204,대전광역시,전체(시 / 군 / 구),교육용,614 ,"33,600,300 ","3,068,261,938 ",91.3 
202204,대전광역시,전체(시 / 군 / 구),산업용,"5,610 ","257,099,263 ","26,522,060,169 ",103.2 
202204,대전광역시,전체(시 / 군 / 구),농사용,"8,503 ","3,005,799 ","176,232,499 ",58.6 
202204,대전광역시,전체(시 / 군 / 구),가로등,"39,374 ","6,025,532 ","724,816,426 ",120.3 
202204,대전광역시,전체(시 / 군 / 구),심 야,"13,784 ","14,984,154 ","885,615,895 ",59.1 
202205,대전광역시,전체(시 / 군 / 구),주택용,"442,273 ","158,023,847 ","16,695,556,234 ",105.7 
