년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202201-202206,대전광역시,대덕구,일반용,12596,194607838,13.93
202201-202206,대전광역시,대덕구,합계,14036,1397370416,
202201-202206,대전광역시,동구,일반용,15000,201279718,42.7
202201-202206,대전광역시,동구,합계,20266,471368104,
202201-202206,대전광역시,서구,일반용,23069,522763435,54.61
202201-202206,대전광역시,서구,합계,28982,957294163,
202201-202206,대전광역시,유성구,일반용,18328,724899695,45.28
202201-202206,대전광역시,유성구,합계,18765,1600944989,
202201-202206,대전광역시,중구,일반용,16019,258680729,53.43
202201-202206,대전광역시,중구,합계,17211,484188791,
