계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,전라북도,전체(시 / 군 / 구),주택용,"686,565 ","238,834,399 ","28,097,544,670 ",117.6 
202201,전라북도,전체(시 / 군 / 구),일반용,"147,881 ","394,404,696 ","51,634,181,393 ",130.9 
202201,전라북도,전체(시 / 군 / 구),교육용,"1,226 ","41,636,226 ","4,229,173,759 ",101.6 
202201,전라북도,전체(시 / 군 / 구),산업용,"16,435 ","1,015,728,920 ","115,599,468,256 ",113.8 
202201,전라북도,전체(시 / 군 / 구),농사용,"166,351 ","188,396,157 ","9,120,553,446 ",48.4 
202201,전라북도,전체(시 / 군 / 구),가로등,"161,591 ","18,787,082 ","1,970,150,239 ",104.9 
202201,전라북도,전체(시 / 군 / 구),심 야,"56,677 ","111,524,963 ","8,290,415,144 ",74.3 
202202,전라북도,전체(시 / 군 / 구),주택용,"687,357 ","241,050,005 ","28,717,628,659 ",119.1 
202202,전라북도,전체(시 / 군 / 구),일반용,"148,069 ","387,544,596 ","51,463,585,066 ",132.8 
202202,전라북도,전체(시 / 군 / 구),교육용,"1,229 ","37,083,203 ","3,912,852,768 ",105.5 
202202,전라북도,전체(시 / 군 / 구),산업용,"16,465 ","916,107,433 ","106,460,521,613 ",116.2 
202202,전라북도,전체(시 / 군 / 구),농사용,"166,208 ","189,164,216 ","9,141,630,753 ",48.3 
202202,전라북도,전체(시 / 군 / 구),가로등,"161,638 ","17,480,095 ","1,958,685,444 ",112.1 
202202,전라북도,전체(시 / 군 / 구),심 야,"56,500 ","116,472,168 ","8,657,487,720 ",74.3 
202203,전라북도,전체(시 / 군 / 구),주택용,"687,683 ","208,741,405 ","22,900,655,293 ",109.7 
202203,전라북도,전체(시 / 군 / 구),일반용,"148,340 ","328,115,109 ","41,632,840,097 ",126.9 
202203,전라북도,전체(시 / 군 / 구),교육용,"1,227 ","36,957,545 ","3,746,873,874 ",101.4 
202203,전라북도,전체(시 / 군 / 구),산업용,"16,464 ","1,008,096,208 ","94,589,123,460 ",93.8 
202203,전라북도,전체(시 / 군 / 구),농사용,"232,802 ","162,663,623 ","7,961,249,322 ",48.9 
202203,전라북도,전체(시 / 군 / 구),가로등,"161,821 ","16,599,686 ","1,863,125,692 ",112.2 
202203,전라북도,전체(시 / 군 / 구),심 야,"56,367 ","91,962,126 ","6,080,548,441 ",66.1 
202204,전라북도,전체(시 / 군 / 구),주택용,"688,357 ","215,415,939 ","24,781,423,213 ",115.0 
202204,전라북도,전체(시 / 군 / 구),일반용,"148,686 ","304,255,295 ","36,817,883,660 ",121.0 
202204,전라북도,전체(시 / 군 / 구),교육용,"1,227 ","32,997,211 ","3,124,811,329 ",94.7 
202204,전라북도,전체(시 / 군 / 구),산업용,"16,551 ","968,577,952 ","97,158,391,384 ",100.3 
202204,전라북도,전체(시 / 군 / 구),농사용,"212,907 ","148,466,003 ","7,771,080,033 ",52.3 
202204,전라북도,전체(시 / 군 / 구),가로등,"162,306 ","16,239,515 ","1,962,638,421 ",120.9 
202204,전라북도,전체(시 / 군 / 구),심 야,"56,226 ","70,191,532 ","3,955,855,945 ",56.4 
202205,전라북도,전체(시 / 군 / 구),주택용,"688,943 ","194,113,820 ","22,516,692,210 ",116.0 
202205,전라북도,전체(시 / 군 / 구),일반용,"148,932 ","276,881,040 ","35,832,572,229 ",129.4 
202205,전라북도,전체(시 / 군 / 구),교육용,"1,227 ","23,318,292 ","2,351,470,095 ",100.8 
202205,전라북도,전체(시 / 군 / 구),산업용,"16,592 ","985,440,428 ","98,479,029,321 ",99.9 
202205,전라북도,전체(시 / 군 / 구),농사용,"168,805 ","136,571,089 ","7,576,794,828 ",55.5 
202205,전라북도,전체(시 / 군 / 구),가로등,"162,585 ","15,415,117 ","1,986,698,708 ",128.9 
202205,전라북도,전체(시 / 군 / 구),심 야,"56,104 ","38,418,127 ","2,346,745,105 ",61.1 
202206,전라북도,전체(시 / 군 / 구),주택용,"689,381 ","197,973,878 ","23,142,026,386 ",116.9 
202206,전라북도,전체(시 / 군 / 구),일반용,"149,286 ","305,111,127 ","43,358,027,176 ",142.1 
202206,전라북도,전체(시 / 군 / 구),교육용,"1,227 ","26,419,269 ","3,150,611,706 ",119.3 
202206,전라북도,전체(시 / 군 / 구),산업용,"16,609 ","999,059,899 ","121,322,602,313 ",121.4 
202206,전라북도,전체(시 / 군 / 구),농사용,"169,712 ","154,215,841 ","8,252,006,663 ",53.5 
202206,전라북도,전체(시 / 군 / 구),가로등,"162,965 ","14,826,393 ","1,980,988,362 ",133.6 
202206,전라북도,전체(시 / 군 / 구),심 야,"55,961 ","24,344,719 ","1,520,048,560 ",62.4 
합계,합계,합계,합계,"7,553,485","10,915,602,347","1,157,416,692,756",106
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,전라북도,고창군,가로등,"4,609 ","1,098,295 ","108,806,999 ",99.1 
202201,전라북도,고창군,교육용,58 ,"1,083,242 ","110,340,270 ",101.9 
202201,전라북도,고창군,농사용,"16,382 ","30,559,349 ","1,429,775,513 ",46.8 
202201,전라북도,고창군,산업용,750 ,"8,968,667 ","1,194,245,711 ",133.2 
202201,전라북도,고창군,심 야,"2,959 ","6,123,940 ","457,578,617 ",74.7 
202201,전라북도,고창군,일반용,"4,966 ","11,623,117 ","1,029,010,703 ",88.5 
202201,전라북도,고창군,주택용,"32,338 ","6,927,790 ","890,752,718 ",128.6 
202201,전라북도,고창군,합계,"62,062 ","66,384,400 ","5,220,510,531 ",78.6 
202201,전라북도,군산시,가로등,"19,015 ","2,375,016 ","249,960,142 ",105.2 
202201,전라북도,군산시,교육용,163 ,"4,750,937 ","499,865,905 ",105.2 
202201,전라북도,군산시,농사용,"7,314 ","6,206,667 ","312,872,408 ",50.4 
202201,전라북도,군산시,산업용,"2,058 ","407,848,879 ","44,863,726,593 ",110 
202201,전라북도,군산시,심 야,"7,464 ","13,668,367 ","1,026,532,572 ",75.1 
202201,전라북도,군산시,일반용,"21,508 ","62,214,562 ","8,144,148,383 ",130.9 
202201,전라북도,군산시,주택용,"85,795 ","36,758,370 ","4,161,510,504 ",113.2 
202201,전라북도,군산시,합계,"143,317 ","533,822,798 ","59,258,616,507 ",111 
202201,전라북도,김제시,가로등,"17,889 ","833,500 ","86,002,357 ",103.2 
202201,전라북도,김제시,교육용,79 ,"1,679,026 ","170,242,515 ",101.4 
202201,전라북도,김제시,농사용,"16,460 ","26,023,258 ","1,255,371,756 ",48.2 
202201,전라북도,김제시,산업용,"1,308 ","46,155,545 ","5,922,551,782 ",128.3 
202201,전라북도,김제시,심 야,"4,505 ","10,338,807 ","747,923,006 ",72.3 
202201,전라북도,김제시,일반용,"6,975 ","17,011,284 ","2,299,791,166 ",135.2 
202201,전라북도,김제시,주택용,"42,632 ","10,094,323 ","1,269,618,194 ",125.8 
202201,전라북도,김제시,합계,"89,848 ","112,135,743 ","11,751,500,776 ",104.8 
202201,전라북도,남원시,가로등,"14,240 ","1,255,199 ","138,396,200 ",110.3 
202201,전라북도,남원시,교육용,76 ,"1,259,929 ","132,944,440 ",105.5 
202201,전라북도,남원시,농사용,"16,835 ","12,695,967 ","633,283,099 ",49.9 
202201,전라북도,남원시,산업용,957 ,"16,108,618 ","2,179,517,836 ",135.3 
202201,전라북도,남원시,심 야,"2,435 ","5,223,396 ","386,305,538 ",74 
202201,전라북도,남원시,일반용,"7,904 ","17,771,691 ","2,318,330,774 ",130.5 
202201,전라북도,남원시,주택용,"41,483 ","10,282,139 ","1,253,604,145 ",121.9 
202201,전라북도,남원시,합계,"83,930 ","64,596,939 ","7,042,382,032 ",109 
202201,전라북도,무주군,가로등,"3,140 ","785,410 ","82,285,559 ",104.8 
202201,전라북도,무주군,교육용,26 ,"572,367 ","58,197,367 ",101.7 
202201,전라북도,무주군,농사용,"7,899 ","2,491,292 ","133,645,080 ",53.6 
202201,전라북도,무주군,산업용,447 ,"2,973,222 ","379,525,004 ",127.6 
202201,전라북도,무주군,심 야,"1,515 ","3,824,740 ","289,294,318 ",75.6 
202201,전라북도,무주군,일반용,"2,880 ","13,497,781 ","1,646,048,583 ",121.9 
202201,전라북도,무주군,주택용,"14,949 ","3,096,870 ","400,461,961 ",129.3 
202201,전라북도,무주군,합계,"30,856 ","27,241,682 ","2,989,457,872 ",109.7 
202201,전라북도,부안군,가로등,"10,500 ","910,965 ","88,864,366 ",97.5 
202201,전라북도,부안군,교육용,51 ,"1,079,040 ","107,793,555 ",99.9 
202201,전라북도,부안군,농사용,"9,812 ","11,479,082 ","565,604,155 ",49.3 
202201,전라북도,부안군,산업용,972 ,"10,115,489 ","1,285,403,641 ",127.1 
202201,전라북도,부안군,심 야,"2,440 ","5,092,747 ","388,761,637 ",76.3 
202201,전라북도,부안군,일반용,"5,883 ","14,205,416 ","1,907,255,269 ",134.3 
202201,전라북도,부안군,주택용,"26,163 ","6,239,880 ","785,797,546 ",125.9 
202201,전라북도,부안군,합계,"55,821 ","49,122,619 ","5,129,480,169 ",104.4 
202201,전라북도,순창군,가로등,"7,522 ","403,130 ","38,191,966 ",94.7 
202201,전라북도,순창군,교육용,30 ,"465,727 ","48,838,379 ",104.9 
202201,전라북도,순창군,농사용,"9,245 ","6,062,813 ","302,687,889 ",49.9 
202201,전라북도,순창군,산업용,455 ,"7,806,925 ","973,233,635 ",124.7 
202201,전라북도,순창군,심 야,"1,344 ","2,657,267 ","199,645,671 ",75.1 
202201,전라북도,순창군,일반용,"2,420 ","5,427,015 ","731,754,439 ",134.8 
202201,전라북도,순창군,주택용,"15,212 ","3,202,940 ","395,260,378 ",123.4 
202201,전라북도,순창군,합계,"36,228 ","26,025,817 ","2,689,612,357 ",103.3 
202201,전라북도,완주군,가로등,"6,148 ","1,928,536 ","209,793,081 ",108.8 
202201,전라북도,완주군,교육용,87 ,"2,860,677 ","297,366,536 ",103.9 
202201,전라북도,완주군,농사용,"16,467 ","14,837,361 ","713,479,231 ",48.1 
202201,전라북도,완주군,산업용,"1,506 ","100,478,215 ","12,098,640,708 ",120.4 
202201,전라북도,완주군,심 야,"5,786 ","11,423,739 ","843,250,151 ",73.8 
202201,전라북도,완주군,일반용,"8,064 ","26,479,784 ","3,473,983,864 ",131.2 
202201,전라북도,완주군,주택용,"35,783 ","11,603,222 ","1,398,283,499 ",120.5 
202201,전라북도,완주군,합계,"73,841 ","169,611,534 ","19,034,797,070 ",112.2 
202201,전라북도,익산시,가로등,"22,019 ","1,598,904 ","161,545,390 ",101 
202201,전라북도,익산시,교육용,169 ,"7,751,714 ","776,055,007 ",100.1 
202201,전라북도,익산시,농사용,"16,200 ","20,205,947 ","980,819,339 ",48.5 
202201,전라북도,익산시,산업용,"2,594 ","150,634,650 ","17,863,885,532 ",118.6 
202201,전라북도,익산시,심 야,"12,451 ","21,182,182 ","1,565,921,940 ",73.9 
202201,전라북도,익산시,일반용,"21,356 ","52,896,736 ","7,048,242,573 ",133.2 
202201,전라북도,익산시,주택용,"98,444 ","36,523,995 ","4,211,308,616 ",115.3 
202201,전라북도,익산시,합계,"173,233 ","290,794,128 ","32,607,778,397 ",112.1 
202201,전라북도,임실군,가로등,"5,856 ","636,777 ","70,873,939 ",111.3 
202201,전라북도,임실군,교육용,32 ,"455,793 ","48,471,378 ",106.3 
202201,전라북도,임실군,농사용,"8,618 ","8,538,215 ","419,820,742 ",49.2 
202201,전라북도,임실군,산업용,602 ,"9,470,822 ","1,167,107,835 ",123.2 
202201,전라북도,임실군,심 야,"1,319 ","2,917,417 ","215,077,745 ",73.7 
202201,전라북도,임실군,일반용,"2,447 ","6,634,274 ","873,678,521 ",131.7 
202201,전라북도,임실군,주택용,"16,793 ","3,059,143 ","396,904,631 ",129.7 
202201,전라북도,임실군,합계,"35,667 ","31,712,441 ","3,191,934,791 ",100.7 
202201,전라북도,장수군,가로등,"3,741 ","634,769 ","67,964,799 ",107.1 
202201,전라북도,장수군,교육용,25 ,"507,482 ","46,962,589 ",92.5 
202201,전라북도,장수군,농사용,"8,335 ","11,689,459 ","555,576,865 ",47.5 
202201,전라북도,장수군,산업용,449 ,"3,401,599 ","410,754,534 ",120.8 
202201,전라북도,장수군,심 야,"1,752 ","3,681,239 ","265,067,370 ",72 
202201,전라북도,장수군,일반용,"1,881 ","4,453,253 ","590,821,209 ",132.7 
202201,전라북도,장수군,주택용,"13,539 ","2,651,394 ","342,043,778 ",129 
202201,전라북도,장수군,합계,"29,722 ","27,019,195 ","2,279,191,144 ",84.4 
202201,전라북도,전주시,가로등,"25,055 ","3,880,569 ","413,819,863 ",106.6 
202201,전라북도,전주시,교육용,283 ,"16,483,541 ","1,659,592,712 ",100.7 
202201,전라북도,전주시,농사용,"5,381 ","5,855,812 ","282,783,141 ",48.3 
202201,전라북도,전주시,산업용,"2,136 ","152,301,278 ","15,711,764,461 ",103.2 
202201,전라북도,전주시,심 야,"6,267 ","11,695,954 ","876,793,578 ",75 
202201,전라북도,전주시,일반용,"49,640 ","135,575,461 ","18,070,822,038 ",133.3 
202201,전라북도,전주시,주택용,"196,593 ","91,429,863 ","10,537,744,541 ",115.3 
202201,전라북도,전주시,합계,"285,355 ","417,222,478 ","47,553,320,334 ",114 
202201,전라북도,정읍시,가로등,"17,001 ","1,647,654 ","167,423,788 ",101.6 
202201,전라북도,정읍시,교육용,113 ,"2,118,422 ","215,782,613 ",101.9 
202201,전라북도,정읍시,농사용,"19,157 ","24,947,951 ","1,195,657,244 ",47.9 
