년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202201-202206,충청북도,괴산군,일반용,3839,59034649,18.84
202201-202206,충청북도,괴산군,합계,8621,313274014,
202201-202206,충청북도,단양군,일반용,3749,43337039,4.67
202201-202206,충청북도,단양군,합계,6219,927606583,
202201-202206,충청북도,보은군,일반용,3116,41395765,19.46
202201-202206,충청북도,보은군,합계,7539,212768390,
202201-202206,충청북도,영동군,일반용,4223,46200420,19.39
202201-202206,충청북도,영동군,합계,10677,238230499,
202201-202206,충청북도,옥천군,일반용,4651,58094488,16.89
202201-202206,충청북도,옥천군,합계,9568,343913284,
202201-202206,충청북도,음성군,일반용,10206,159421616,9.54
202201-202206,충청북도,음성군,합계,15049,1671826331,
202201-202206,충청북도,제천시,일반용,12929,156300834,18.33
202201-202206,충청북도,제천시,합계,16723,852922067,
202201-202206,충청북도,증평군,일반용,3263,55873458,18.53
202201-202206,충청북도,증평군,합계,4336,301589813,
202201-202206,충청북도,진천군,일반용,7741,146273047,9.84
202201-202206,충청북도,진천군,합계,10788,1486639587,
202201-202206,충청북도,청주시,일반용,59167,962777455,14.07
202201-202206,충청북도,청주시,합계,72789,6840714009,
202201-202206,충청북도,충주시,일반용,18814,272519218,19.35
202201-202206,충청북도,충주시,합계,27775,1408146429,
