,년월,시구,시군구,계약구분,사용량(kWh)
46,202201,서울특별시,강남구,일반용,"339,015,601"
54,202201,서울특별시,강동구,일반용,"74,957,337"
62,202201,서울특별시,강북구,일반용,"41,200,356"
70,202201,서울특별시,강서구,일반용,"134,532,532"
78,202201,서울특별시,관악구,일반용,"71,189,701"
86,202201,서울특별시,광진구,일반용,"60,752,189"
94,202201,서울특별시,구로구,일반용,"87,163,055"
102,202201,서울특별시,금천구,일반용,"103,073,049"
110,202201,서울특별시,노원구,일반용,"60,241,664"
118,202201,서울특별시,도봉구,일반용,"34,419,700"
126,202201,서울특별시,동대문구,일반용,"61,759,917"
134,202201,서울특별시,동작구,일반용,"54,794,108"
142,202201,서울특별시,마포구,일반용,"129,714,582"
150,202201,서울특별시,서대문구,일반용,"54,840,924"
158,202201,서울특별시,서초구,일반용,"196,985,066"
166,202201,서울특별시,성동구,일반용,"75,914,047"
174,202201,서울특별시,성북구,일반용,"52,919,867"
182,202201,서울특별시,송파구,일반용,"147,361,634"
190,202201,서울특별시,양천구,일반용,"91,929,837"
198,202201,서울특별시,영등포구,일반용,"165,776,558"
206,202201,서울특별시,용산구,일반용,"80,627,001"
214,202201,서울특별시,은평구,일반용,"53,601,340"
222,202201,서울특별시,종로구,일반용,"117,205,665"
229,202201,서울특별시,중구,일반용,"164,177,193"
237,202201,서울특별시,중랑구,일반용,"46,681,329"
245,202202,서울특별시,강남구,일반용,"321,510,278"
253,202202,서울특별시,강동구,일반용,"71,500,525"
261,202202,서울특별시,강북구,일반용,"40,013,437"
269,202202,서울특별시,강서구,일반용,"127,016,341"
277,202202,서울특별시,관악구,일반용,"69,112,368"
285,202202,서울특별시,광진구,일반용,"57,285,629"
293,202202,서울특별시,구로구,일반용,"81,701,159"
301,202202,서울특별시,금천구,일반용,"94,699,340"
309,202202,서울특별시,노원구,일반용,"58,101,849"
317,202202,서울특별시,도봉구,일반용,"33,431,095"
325,202202,서울특별시,동대문구,일반용,"60,001,645"
333,202202,서울특별시,동작구,일반용,"52,562,308"
341,202202,서울특별시,마포구,일반용,"120,269,548"
349,202202,서울특별시,서대문구,일반용,"52,551,842"
357,202202,서울특별시,서초구,일반용,"188,428,353"
365,202202,서울특별시,성동구,일반용,"71,737,530"
373,202202,서울특별시,성북구,일반용,"51,403,150"
381,202202,서울특별시,송파구,일반용,"138,395,359"
389,202202,서울특별시,양천구,일반용,"89,307,325"
397,202202,서울특별시,영등포구,일반용,"155,309,451"
405,202202,서울특별시,용산구,일반용,"76,670,984"
413,202202,서울특별시,은평구,일반용,"52,547,668"
421,202202,서울특별시,종로구,일반용,"110,074,405"
428,202202,서울특별시,중구,일반용,"151,511,909"
436,202202,서울특별시,중랑구,일반용,"45,420,392"
444,202203,서울특별시,강남구,일반용,"272,983,876"
452,202203,서울특별시,강동구,일반용,"60,927,077"
460,202203,서울특별시,강북구,일반용,"33,442,195"
468,202203,서울특별시,강서구,일반용,"112,681,709"
476,202203,서울특별시,관악구,일반용,"59,372,926"
484,202203,서울특별시,광진구,일반용,"48,615,504"
492,202203,서울특별시,구로구,일반용,"68,943,468"
500,202203,서울특별시,금천구,일반용,"83,128,180"
508,202203,서울특별시,노원구,일반용,"49,375,745"
516,202203,서울특별시,도봉구,일반용,"28,059,263"
524,202203,서울특별시,동대문구,일반용,"50,983,953"
532,202203,서울특별시,동작구,일반용,"44,727,199"
540,202203,서울특별시,마포구,일반용,"107,721,868"
548,202203,서울특별시,서대문구,일반용,"45,306,799"
556,202203,서울특별시,서초구,일반용,"163,268,875"
564,202203,서울특별시,성동구,일반용,"61,648,134"
572,202203,서울특별시,성북구,일반용,"43,269,072"
580,202203,서울특별시,송파구,일반용,"130,618,563"
588,202203,서울특별시,양천구,일반용,"85,128,579"
596,202203,서울특별시,영등포구,일반용,"139,424,876"
604,202203,서울특별시,용산구,일반용,"65,989,200"
612,202203,서울특별시,은평구,일반용,"44,110,579"
