년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201301,충청북도,괴산군,일반용,"2,975 ","8,351,050 ",15.789808447759757
201302,충청북도,괴산군,일반용,"2,989 ","7,145,777 ",14.774557632817874
201303,충청북도,괴산군,일반용,"3,023 ","5,872,746 ",13.703702588837748
201304,충청북도,괴산군,일반용,"3,027 ","5,478,367 ",13.335499293969372
201305,충청북도,괴산군,일반용,"2,994 ","4,693,326 ",13.357151600425954
201306,충청북도,괴산군,일반용,"3,027 ","4,754,171 ",14.830752696329766
201301,충청북도,괴산군,합계,"38,683 ","52,888,862 ",
201302,충청북도,괴산군,합계,"38,667 ","48,365,421 ",
201303,충청북도,괴산군,합계,"41,144 ","42,855,177 ",
201304,충청북도,괴산군,합계,"38,818 ","41,081,079 ",
201305,충청북도,괴산군,합계,"38,894 ","35,137,177 ",
201306,충청북도,괴산군,합계,"39,060 ","32,056,168 ",
201301,충청북도,단양군,일반용,"3,097 ","7,019,016 ",6.904611965331784
201302,충청북도,단양군,일반용,"3,112 ","6,469,979 ",5.994865357991032
201303,충청북도,단양군,일반용,"3,115 ","5,568,358 ",4.153992848355462
201304,충청북도,단양군,일반용,"3,124 ","5,077,579 ",3.3065120068409186
201305,충청북도,단양군,일반용,"3,111 ","5,200,959 ",3.4105193521580537
201306,충청북도,단양군,일반용,"3,134 ","4,773,714 ",3.404390927566188
201301,충청북도,단양군,합계,"29,552 ","101,656,922 ",
201302,충청북도,단양군,합계,"29,559 ","107,925,343 ",
201303,충청북도,단양군,합계,"29,569 ","134,048,329 ",
201304,충청북도,단양군,합계,"29,583 ","153,562,999 ",
201305,충청북도,단양군,합계,"29,596 ","152,497,566 ",
201306,충청북도,단양군,합계,"29,645 ","140,222,263 ",
201301,충청북도,보은군,일반용,"2,692 ","6,216,897 ",18.832973086547927
201302,충청북도,보은군,일반용,"2,699 ","5,815,604 ",18.675517032502334
201303,충청북도,보은군,일반용,"2,697 ","4,829,701 ",18.53256298075169
201304,충청북도,보은군,일반용,"2,687 ","4,764,231 ",19.314821679811782
201305,충청북도,보은군,일반용,"2,665 ","4,202,577 ",19.594883612020862
201306,충청북도,보은군,일반용,"2,672 ","4,030,259 ",21.458097424789145
201301,충청북도,보은군,합계,"35,966 ","33,010,704 ",
201302,충청북도,보은군,합계,"35,892 ","31,140,257 ",
201303,충청북도,보은군,합계,"39,129 ","26,060,621 ",
201304,충청북도,보은군,합계,"36,034 ","24,666,192 ",
201305,충청북도,보은군,합계,"36,044 ","21,447,318 ",
201306,충청북도,보은군,합계,"36,056 ","18,781,996 ",
