년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201307,충청북도,괴산군,일반용,"3,070 ","5,736,243 ",17.28003315601465
201308,충청북도,괴산군,일반용,"3,105 ","6,744,495 ",18.86105961956142
201309,충청북도,괴산군,일반용,"3,133 ","4,872,219 ",14.89794722731148
201310,충청북도,괴산군,일반용,"3,121 ","4,401,408 ",13.670868430601196
201311,충청북도,괴산군,일반용,"3,134 ","5,220,022 ",13.47554082190075
201312,충청북도,괴산군,일반용,"3,150 ","6,232,154 ",13.802316424149142
201307,충청북도,괴산군,합계,"39,184 ","33,195,787 ",
201308,충청북도,괴산군,합계,"39,384 ","35,758,834 ",
201309,충청북도,괴산군,합계,"39,602 ","32,703,962 ",
201310,충청북도,괴산군,합계,"39,670 ","32,195,526 ",
201311,충청북도,괴산군,합계,"42,159 ","38,737,013 ",
201312,충청북도,괴산군,합계,"39,743 ","45,152,957 ",
201307,충청북도,단양군,일반용,"3,160 ","5,045,394 ",4.11896933850077
201308,충청북도,단양군,일반용,"3,152 ","6,076,697 ",5.015481211051582
201309,충청북도,단양군,일반용,"3,160 ","5,434,169 ",4.20716185635948
201310,충청북도,단양군,일반용,"3,157 ","4,669,441 ",3.471738192167728
201311,충청북도,단양군,일반용,"3,177 ","5,231,516 ",3.3708075914182096
201312,충청북도,단양군,일반용,"3,196 ","5,941,834 ",4.0189708841977545
201307,충청북도,단양군,합계,"29,714 ","122,491,662 ",
201308,충청북도,단양군,합계,"29,829 ","121,158,803 ",
201309,충청북도,단양군,합계,"29,924 ","129,164,724 ",
201310,충청북도,단양군,합계,"29,985 ","134,498,650 ",
201311,충청북도,단양군,합계,"30,083 ","155,200,671 ",
201312,충청북도,단양군,합계,"30,093 ","147,844,664 ",
201307,충청북도,보은군,일반용,"2,693 ","4,285,026 ",23.271114661164034
201308,충청북도,보은군,일반용,"2,726 ","5,071,480 ",24.38368860144727
201309,충청북도,보은군,일반용,"2,741 ","4,251,993 ",21.539834220003932
