년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201301,경기도,가평군,일반용,"8,339 ","29,878,526 ",37.33024504854152
201301,경기도,가평군,합계,"54,980 ","80,038,387 ",
201302,경기도,가평군,일반용,"8,333 ","27,689,985 ",37.212696559646034
201302,경기도,가평군,합계,"55,083 ","74,410,047 ",
201303,경기도,가평군,일반용,"8,332 ","22,559,363 ",37.22839419830581
201303,경기도,가평군,합계,"56,198 ","60,597,196 ",
201304,경기도,가평군,일반용,"8,382 ","20,597,613 ",38.16583356993642
201304,경기도,가평군,합계,"55,219 ","53,968,723 ",
201305,경기도,가평군,일반용,"8,393 ","18,454,853 ",40.6907005431188
201305,경기도,가평군,합계,"55,444 ","45,353,982 ",
201306,경기도,가평군,일반용,"8,425 ","18,503,759 ",46.33173407812282
201306,경기도,가평군,합계,"55,671 ","39,937,549 ",
201307,경기도,가평군,일반용,"8,486 ","19,402,615 ",50.00135552413969
201307,경기도,가평군,합계,"55,853 ","38,804,178 ",
201308,경기도,가평군,일반용,"8,546 ","23,348,226 ",52.06804104031599
201308,경기도,가평군,합계,"56,009 ","44,841,760 ",
201309,경기도,가평군,일반용,"8,612 ","20,125,537 ",49.367923465644175
201309,경기도,가평군,합계,"56,293 ","40,766,424 ",
201310,경기도,가평군,일반용,"8,643 ","17,255,446 ",43.77356700448773
201310,경기도,가평군,합계,"56,414 ","39,419,785 ",
201311,경기도,가평군,일반용,"8,696 ","20,210,349 ",39.998524770632905
201311,경기도,가평군,합계,"57,706 ","50,527,736 ",
201312,경기도,가평군,일반용,"8,791 ","23,575,133 ",38.4789462021829
201312,경기도,가평군,합계,"56,831 ","61,267,616 ",
201301,서울특별시,강남구,일반용,"47,458 ","355,556,988 ",76.44599777881601
201301,서울특별시,강남구,합계,"194,861 ","465,108,702 ",
201302,서울특별시,강남구,일반용,"47,492 ","323,308,003 ",75.87173058342688
201302,서울특별시,강남구,합계,"195,013 ","426,124,461 ",
201303,서울특별시,강남구,일반용,"47,458 ","278,002,300 ",75.02653090255033
201303,서울특별시,강남구,합계,"195,156 ","370,538,657 ",
201304,서울특별시,강남구,일반용,"47,461 ","266,763,078 ",73.85320939252597
201304,서울특별시,강남구,합계,"195,375 ","361,207,157 ",
201305,서울특별시,강남구,일반용,"47,382 ","250,458,232 ",73.23740245866942
201305,서울특별시,강남구,합계,"195,344 ","341,981,315 ",
201306,서울특별시,강남구,일반용,"47,408 ","282,862,086 ",74.12609811346672
201306,서울특별시,강남구,합계,"195,552 ","381,595,812 ",
201307,서울특별시,강남구,일반용,"47,421 ","325,187,321 ",74.70357593266974
201307,서울특별시,강남구,합계,"195,792 ","435,303,554 ",
201308,서울특별시,강남구,일반용,"47,403 ","348,878,438 ",73.53344797925352
201308,서울특별시,강남구,합계,"195,931 ","474,448,632 ",
201309,서울특별시,강남구,일반용,"47,405 ","305,034,275 ",74.60580052544415
201309,서울특별시,강남구,합계,"196,119 ","408,861,339 ",
201310,서울특별시,강남구,일반용,"47,363 ","246,079,549 ",73.42029068926969
201310,서울특별시,강남구,합계,"196,222 ","335,165,588 ",
201311,서울특별시,강남구,일반용,"47,457 ","248,319,166 ",72.86212385917226
201311,서울특별시,강남구,합계,"196,586 ","340,806,928 ",
201312,서울특별시,강남구,일반용,"47,672 ","294,363,858 ",74.71080247700374
201312,서울특별시,강남구,합계,"196,873 ","394,004,412 ",
201301,서울특별시,강동구,일반용,"19,490 ","73,188,625 ",51.529315169083326
201301,서울특별시,강동구,합계,"125,407 ","142,032,986 ",
201302,서울특별시,강동구,일반용,"19,483 ","67,410,748 ",47.80731464648099
201302,서울특별시,강동구,합계,"125,526 ","141,005,092 ",
201303,서울특별시,강동구,일반용,"19,442 ","56,222,067 ",46.57060679385668
201303,서울특별시,강동구,합계,"125,639 ","120,724,360 ",
201304,서울특별시,강동구,일반용,"19,427 ","54,860,082 ",45.3069521184276
201304,서울특별시,강동구,합계,"125,852 ","121,085,351 ",
201305,서울특별시,강동구,일반용,"19,394 ","51,100,033 ",45.092196716566605
201305,서울특별시,강동구,합계,"125,946 ","113,323,450 ",
201306,서울특별시,강동구,일반용,"19,410 ","58,178,522 ",47.57844544185073
201306,서울특별시,강동구,합계,"126,174 ","122,279,157 ",
201307,서울특별시,강동구,일반용,"19,397 ","65,633,329 ",49.01231528221093
201307,서울특별시,강동구,합계,"126,316 ","133,911,913 ",
201308,서울특별시,강동구,일반용,"19,425 ","72,164,038 ",48.47084680997898
